District_Name,District_Code,Electors,Region_Name,Region_Code,Candidate_Name,BP_Order,Party_Name,Party_Abbrev,Vote_Count,Status,Comment
"Albany","ALB",27143,"South West","06","RASTRICK, David",1,"The Greens (WA)","GRN",1542,"Count In Progress",
"Albany","ALB",27143,"South West","06","'t HART, Ian",2,"Australian Christians","ACP",1162,"Count In Progress",
"Albany","ALB",27143,"South West","06","SUTTON, Robert",3,"THE NATIONALS","NAT",4731,"Count In Progress",
"Albany","ALB",27143,"South West","06","WATSON, Peter",4,"WA Labor","ALP",10320,"Count In Progress",
"Albany","ALB",27143,"South West","06","STOCKS, Greg",5,"Liberal Party","LIB",4141,"Count In Progress",
"Albany","ALB",27143,"South West","06","GRIFFITHS, Anthony",6,"Pauline Hanson's One Nation","PHON",1620,"Count In Progress",
"Albany","ALB",27143,"South West","06","Informal",999,,,855,"Count In Progress",
"Armadale","ARM",28323,"East Metropolitan","01","BUTI, Tony",1,"WA Labor","ALP",15048,"Count In Progress",
"Armadale","ARM",28323,"East Metropolitan","01","JEFFERY, Wendy",2,"Liberal Party","LIB",3805,"Count In Progress",
"Armadale","ARM",28323,"East Metropolitan","01","FLAHERTY, Edward",3,"Micro Business Party","MBP",268,"Count In Progress",
"Armadale","ARM",28323,"East Metropolitan","01","NAIDU, Nitasha",4,"Australian Christians","ACP",1434,"Count In Progress",
"Armadale","ARM",28323,"East Metropolitan","01","PYLE, Anthony",5,"The Greens (WA)","GRN",1450,"Count In Progress",
"Armadale","ARM",28323,"East Metropolitan","01","HUYNH, Cameron",6,"Independent","IND",553,"Count In Progress",
"Armadale","ARM",28323,"East Metropolitan","01","Informal",999,,,1285,"Count In Progress",
"Balcatta","BAC",27946,"North Metropolitan","02","McENCROE, Keith John",1,"Australian Christians","ACP",748,"Count In Progress",
"Balcatta","BAC",27946,"North Metropolitan","02","HATTON, Chris",2,"Liberal Party","LIB",8865,"Count In Progress",
"Balcatta","BAC",27946,"North Metropolitan","02","TAIT, Richard",3,"Liberal Democrats","LDP",246,"Count In Progress",
"Balcatta","BAC",27946,"North Metropolitan","02","MICHAEL, David",4,"WA Labor","ALP",10247,"Count In Progress",
"Balcatta","BAC",27946,"North Metropolitan","02","NASTESKI, Mile",5,"Micro Business Party","MBP",541,"Count In Progress",
