Region_Name,Region_Code,Electors,Group_Name,Group_Abbrev,BP_Order,Vote_Count,Status,Comment
"Agricultural","04",102748,"WA Labor","ALP",1,18927,"Count In Progress",
"Agricultural","04",102748,"Family First","FFP",2,706,"Count In Progress",
"Agricultural","04",102748,"Flux The System!","FLUX",3,239,"Count In Progress",
"Agricultural","04",102748,"Australian Christians","ACP",4,1335,"Count In Progress",
"Agricultural","04",102748,"Shooters, Fishers and Farmers","SFP",5,4187,"Count In Progress",
"Agricultural","04",102748,"THE NATIONALS","NAT",6,23193,"Count In Progress",
"Agricultural","04",102748,"Daylight Saving Party","DSP",7,155,"Count In Progress",
"Agricultural","04",102748,"The Greens (WA)","GRN",8,2506,"Count In Progress",
"Agricultural","04",102748,"Liberal Party","LIB",9,14218,"Count In Progress",
"Agricultural","04",102748,"Independent","IND - REID",10,157,"Count In Progress",
"Agricultural","04",102748,"FLUORIDE FREE WA","FFWA",11,154,"Count In Progress",
"Agricultural","04",102748,"Micro Business Party","MBP",12,70,"Count In Progress",
"Agricultural","04",102748,"Independent","IND - FLEETON",13,83,"Count In Progress",
"Agricultural","04",102748,"Pauline Hanson's One Nation","PHON",14,8722,"Count In Progress",
"Agricultural","04",102748,"Liberal Democrats","LDP",15,875,"Count In Progress",
"Agricultural","04",102748,"Independent","IND - WILLIAMSON",16,58,"Count In Progress",
"Agricultural","04",102748,"Independent","IND - SPADA",17,45,"Count In Progress",
"Agricultural","04",102748,"Independent","IND - REED",18,39,"Count In Progress",
"Agricultural","04",102748,"Julie Matheson for Western Australia","JMWA",19,194,"Count In Progress",
"Agricultural","04",102748,"Independent","IND - BARRETT-LENNARD",20,34,"Count In Progress",
"Agricultural","04",102748,"Independent","IND - HOUGH",21,44,"Count In Progress",
"Agricultural","04",102748,"Informal",,999,2455,"Count In Progress",
"East Metropolitan","01",395451,"Daylight Saving Party","DSP",1,2060,"Count In Progress",
"East Metropolitan","01",395451,"Independent","IND - LOTTERING",2,601,"Count In Progress",
"East Metropolitan","01",395451,"Micro Business Party","MBP",3,2052,"Count In Progress",
"East Metropolitan","01",395451,"Liberal Party","LIB",4,75032,"Count In Progress",
"East Metropolitan","01",395451,"Independent","IND - DHU",5,556,"Count In Progress",
"East Metropolitan","01",395451,"Liberal Democrats","LDP",6,2929,"Count In Progress",
"East Metropolitan","01",395451,"FLUORIDE FREE WA","FFWA",7,1036,"Count In Progress",
"East Metropolitan","01",395451,"Family First","FFP",8,2891,"Count In Progress",
"East Metropolitan","01",395451,"The Greens (WA)","GRN",9,23756,"Count In Progress",
"East Metropolitan","01",395451,"Independent","IND - WILLIAMS",10,320,"Count In Progress",
"East Metropolitan","01",395451,"Pauline Hanson's One Nation","PHON",11,23165,"Count In Progress",
"East Metropolitan","01",395451,"Julie Matheson for Western Australia","JMWA",12,1050,"Count In Progress",
"East Metropolitan","01",395451,"Animal Justice Party","AJP",13,4105,"Count In Progress",
"East Metropolitan","01",395451,"WA Labor","ALP",14,140640,"Count In Progress",
"East Metropolitan","01",395451,"Shooters, Fishers and Farmers","SFP",15,5657,"Count In Progress",
"East Metropolitan","01",395451,"Independent","IND - HEWITT",16,352,"Count In Progress",
"East Metropolitan","01",395451,"Australian Christians","ACP",17,7087,"Count In Progress",
"East Metropolitan","01",395451,"Flux The System!","FLUX",18,1087,"Count In Progress",
"East Metropolitan","01",395451,"Independent","IND - CORNISH",19,264,"Count In Progress",
"East Metropolitan","01",395451,"Informal",,999,10434,"Count In Progress",
"Mining and Pastoral","05",68480,"FLUORIDE FREE WA","FFWA",1,156,"Count In Progress",
"Mining and Pastoral","05",68480,"Micro Business Party","MBP",2,54,"Count In Progress",
"Mining and Pastoral","05",68480,"Shooters, Fishers and Farmers","SFP",3,2258,"Count In Progress",
"Mining and Pastoral","05",68480,"Flux The System!","FLUX",4,378,"Count In Progress",
